"","sample_id","predator","prey","count","volume_ml"
"1","172","Felis_catus","Mamífero",1,0.638
"2","246","Felis_catus","Mamífero",1,2.925
"3","136","Felis_catus","Mamífero",1,0.425
"4","C","Felis_catus","Mamífero",1,1
"5","230","Felis_catus","Mamífero",1,3.123
"6","T01-002","Felis_catus","Mamífero",1,2.4
"7","T02-004","Felis_catus","Mamífero",1,2.2
"8","3","Felis_catus","Roedor",1,3.066
"9","161","Felis_catus","Roedor",1,2.731
"10","232","Felis_catus","Roedor",1,2.3
"11","242","Felis_catus","Roedor",1,3.525
"12","221","Felis_catus","Roedor",1,3.853
"13","220","Felis_catus","Roedor",1,3.725
"14","55","Felis_catus","Roedor",1,0.806
"15","248","Felis_catus","Roedor",1,1.154
"16","T05-003","Felis_catus","Roedor",1,1.63
"17","T07-002","Felis_catus","Roedor",1,2.1
"18","T05-001","Felis_catus","Roedor",1,2.8
"19","11/","Felis_catus","Rattus",1,1.938
"20","2","Felis_catus","Rattus",1,1.115
"21","251","Felis_catus","Rattus",1,0.724
"22","4","Felis_catus","Rattus",1,0.72
"23","253","Felis_catus","Rattus",1,1.568
"24","239","Felis_catus","Rattus",1,3.825
"25","240","Felis_catus","Rattus",1,0.22
"26","213","Felis_catus","Rattus",2,4.423
"27","45","Felis_catus","Rattus",1,1.83
"28","352","Felis_catus","Rattus",1,1.367
"29","332","Felis_catus","Rattus",1,3.092
"30","339","Felis_catus","Rattus",1,2.741
"31","347","Felis_catus","Rattus",1,2.032
"32","346","Felis_catus","Rattus",1,2.047
"33","251","Felis_catus","Kerodon",1,4.65
"34","4","Felis_catus","Kerodon",1,2.1
"35","227","Felis_catus","Kerodon",1,0.7
"36","212","Felis_catus","Kerodon",1,1.25
"37","241","Felis_catus","Kerodon",1,3.055
"38","137","Felis_catus","Kerodon",1,2.7
"39","231","Felis_catus","Kerodon",1,4.895
"40","245","Felis_catus","Kerodon",1,2.051
"41","214","Felis_catus","Kerodon",1,0.927
"42","226","Felis_catus","Kerodon",1,2.675
"43","252","Felis_catus","Kerodon",1,0.8
"44","215","Felis_catus","Kerodon",1,3.12
"45","228","Felis_catus","Kerodon",1,3.1
"46","T05-002","Felis_catus","Kerodon",1,2.105
"47","353","Felis_catus","Kerodon",1,3.355
"48","D","Felis_catus","Trachylepis",2,2.78
"49","142","Felis_catus","Trachylepis",2,0.145
"50","2","Felis_catus","Trachylepis",1,0.577
"51","10/","Felis_catus","Trachylepis",1,1.552
"52","161","Felis_catus","Trachylepis",1,0.465
"53","172","Felis_catus","Trachylepis",1,0.2
"54","169","Felis_catus","Trachylepis",3,2.129
"55","2/","Felis_catus","Trachylepis",1,0.95
"56","251","Felis_catus","Trachylepis",1,0.226
"57","242","Felis_catus","Trachylepis",1,0.4
"58","218","Felis_catus","Trachylepis",1,0.022
"59","246","Felis_catus","Trachylepis",3,2.1
"60","253","Felis_catus","Trachylepis",1,0.5
"61","243","Felis_catus","Trachylepis",1,0.1
"62","239","Felis_catus","Trachylepis",1,0.03
"63","227","Felis_catus","Trachylepis",1,0.025
"64","238","Felis_catus","Trachylepis",2,1.7
"65","235","Felis_catus","Trachylepis",1,0.1
"66","225","Felis_catus","Trachylepis",1,1.2
"67","240","Felis_catus","Trachylepis",1,0.05
"68","250","Felis_catus","Trachylepis",1,0.05
"69","221","Felis_catus","Trachylepis",1,0.047
"70","247","Felis_catus","Trachylepis",1,0.041
"71","224","Felis_catus","Trachylepis",1,0.025
"72","222","Felis_catus","Trachylepis",1,0.03
"73","136","Felis_catus","Trachylepis",1,2.951
"74","213","Felis_catus","Trachylepis",1,0.046
"75","45","Felis_catus","Trachylepis",1,0.005
"76","53","Felis_catus","Trachylepis",1,2
"77","55","Felis_catus","Trachylepis",1,0.03
"78","C","Felis_catus","Trachylepis",1,1.5
"79","231","Felis_catus","Trachylepis",1,0.05
"80","245","Felis_catus","Trachylepis",1,0.073
"81","214","Felis_catus","Trachylepis",1,0.65
"82","226","Felis_catus","Trachylepis",1,0.14
"83","252","Felis_catus","Trachylepis",1,0.091
"84","230","Felis_catus","Trachylepis",2,0.38
"85","248","Felis_catus","Trachylepis",1,0.045
"86","233","Felis_catus","Trachylepis",1,0.2
"87","249","Felis_catus","Trachylepis",1,0.084
"88","T01-002","Felis_catus","Trachylepis",1,0.098
"89","T05-003","Felis_catus","Trachylepis",1,0.125
"90","228","Felis_catus","Trachylepis",1,0.085
"91","T05-002","Felis_catus","Trachylepis",1,0.39
"92","217","Felis_catus","Trachylepis",2,0.716
"93","T05-001","Felis_catus","Trachylepis",1,0.225
"94","339","Felis_catus","Trachylepis",1,0.125
"95","353","Felis_catus","Trachylepis",3,0.485
"96","142","Felis_catus","Ave",1,0.11
"97","2/","Felis_catus","Ave",1,2.545
"98","173","Felis_catus","Ave",1,4.17
"99","4","Felis_catus","Ave",1,1.682
"100","234","Felis_catus","Ave",1,0.16
"101","218","Felis_catus","Ave",1,0.24
"102","229","Felis_catus","Ave",1,3.73
"103","253","Felis_catus","Ave",1,0.13
"104","243","Felis_catus","Ave",1,2.3
"105","227","Felis_catus","Ave",1,0.75
"106","238","Felis_catus","Ave",1,0.475
"107","236","Felis_catus","Ave",1,1.625
"108","235","Felis_catus","Ave",1,3.85
"109","225","Felis_catus","Ave",1,6.25
"110","240","Felis_catus","Ave",2,5.163
"111","250","Felis_catus","Ave",2,7.5
"112","247","Felis_catus","Ave",1,1.62
"113","224","Felis_catus","Ave",1,2.408
"114","222","Felis_catus","Ave",1,3.823
"115","213","Felis_catus","Ave",1,0.802
"116","212","Felis_catus","Ave",1,0.127
"117","209","Felis_catus","Ave",1,1.27
"118","219","Felis_catus","Ave",1,0.25
"119","53","Felis_catus","Ave",1,2.218
"120","241","Felis_catus","Ave",1,1.125
"121","135","Felis_catus","Ave",1,1.01
"122","137","Felis_catus","Ave",1,0.85
"123","55","Felis_catus","Ave",1,0.525
"124","237","Felis_catus","Ave",1,3.725
"125","245","Felis_catus","Ave",1,1.125
"126","223","Felis_catus","Ave",1,5.033
"127","226","Felis_catus","Ave",1,0.025
"128","252","Felis_catus","Ave",1,0.725
"129","T02-003","Felis_catus","Ave",1,1.6
"130","233","Felis_catus","Ave",1,2.627
"131","249","Felis_catus","Ave",1,1.26
"132","T02-004","Felis_catus","Ave",1,1.02
"133","244","Felis_catus","Ave",1,2.507
"134","T03-002","Felis_catus","Ave",1,1.5
"135","T05-002","Felis_catus","Ave",1,1.525
"136","T02-001","Felis_catus","Ave",1,3.122
"137","217","Felis_catus","Ave",1,0.925
"138","172","Felis_catus","Caranguejo",1,0.175
"139","246","Felis_catus","Caranguejo",1,0.103
"140","212","Felis_catus","Caranguejo",1,0.003
"141","T02-004","Felis_catus","Caranguejo",1,1
"142","T02-001","Felis_catus","Caranguejo",1,0.93
"143","T02-002","Felis_catus","Caranguejo",1,3.35
"144","217","Felis_catus","Caranguejo",1,0.11
"145","219","Felis_catus","Peixe",2,3
"146","135","Felis_catus","Peixe",1,2.3
"147","T05-001","Felis_catus","Peixe",1,0.005
"148","251","Felis_catus","Cephalopo",1,0.009
"149","4","Felis_catus","Gastropoda",4,0.2
"150","221","Felis_catus","Gastropoda",1,0.004
"151","T03-001","Felis_catus","Gastropoda",1,0.004
"152","3","Felis_catus","Vegetal",1,0.223
"153","10/","Felis_catus","Vegetal",1,0.025
"154","161","Felis_catus","Vegetal",1,0.02
"155","2/","Felis_catus","Vegetal",1,0.3
"156","173","Felis_catus","Vegetal",1,0.018
"157","232","Felis_catus","Vegetal",2,0.01
"158","242","Felis_catus","Vegetal",1,0.01
"159","246","Felis_catus","Vegetal",1,0.1
"160","253","Felis_catus","Vegetal",1,0.025
"161","220","Felis_catus","Vegetal",1,0.1
"162","213","Felis_catus","Vegetal",2,0.05
"163","55","Felis_catus","Vegetal",1,0.098
"164","C","Felis_catus","Vegetal",1,0.01
"165","231","Felis_catus","Vegetal",1,0.083
"166","T02-003","Felis_catus","Vegetal",1,0.005
"167","T03-001","Felis_catus","Vegetal",1,0.075
"168","T05-003","Felis_catus","Vegetal",1,0.1
"169","332","Felis_catus","Vegetal",1,0.013
"170","339","Felis_catus","Vegetal",1,0.075
"171","353","Felis_catus","Vegetal",1,0.433
"172","142","Felis_catus","Sementes",4,0.098
"173","169","Felis_catus","Sementes",4,0.13
"174","234","Felis_catus","Sementes",3,0.003
"175","243","Felis_catus","Sementes",29,0.15
"176","227","Felis_catus","Sementes",1,0.007
"177","236","Felis_catus","Sementes",13,0.05
"178","235","Felis_catus","Sementes",10,0.15
"179","240","Felis_catus","Sementes",1,0.025
"180","250","Felis_catus","Sementes",3,0.103
"181","221","Felis_catus","Sementes",1,0.001
"182","247","Felis_catus","Sementes",7,0.034
"183","224","Felis_catus","Sementes",1,0.002
"184","53","Felis_catus","Sementes",1,0.02
"185","241","Felis_catus","Sementes",1,0.003
"186","137","Felis_catus","Sementes",6,0.2
"187","237","Felis_catus","Sementes",1,0.005
"188","223","Felis_catus","Sementes",8,0.045
"189","T01-002","Felis_catus","Sementes",3,0.017
"190","T02-004","Felis_catus","Sementes",7,0.052
"191","T03-002","Felis_catus","Sementes",5,0.005
"192","T05-002","Felis_catus","Sementes",6,0.036
"193","352","Felis_catus","Sementes",1,0.015
"194","347","Felis_catus","Sementes",3,0.097
"195","251","Felis_catus","Grama",1,0.198
"196","4","Felis_catus","Grama",1,0.67
"197","239","Felis_catus","Grama",1,0.75
"198","238","Felis_catus","Grama",1,0.3
"199","235","Felis_catus","Grama",1,0.025
"200","214","Felis_catus","Grama",1,0.025
"201","226","Felis_catus","Grama",1,0.02
"202","252","Felis_catus","Grama",1,0.053
"203","248","Felis_catus","Grama",1,0.002
"204","T01-002","Felis_catus","Grama",1,0.05
"205","T05-002","Felis_catus","Grama",1,0.025
"206","T02-001","Felis_catus","Grama",1,0.625
"207","T02-002","Felis_catus","Grama",1,0.025
"208","T07-002","Felis_catus","Grama",1,0.053
"209","T05-001","Felis_catus","Grama",1,0.065
"210","352","Felis_catus","Grama",1,0.017
"211","346","Felis_catus","Grama",1,0.353
"212","213","Felis_catus","Aranha",1,0.125
"213","D","Felis_catus","Inseto",1,0.023
"214","169","Felis_catus","Inseto",1,0.035
"215","247","Felis_catus","Inseto",1,0.002
"216","53","Felis_catus","Inseto",1,0.009
"217","352","Felis_catus","Inseto",1,5e-04
"218","232","Felis_catus","Diplopo",3,0.207
"219","45","Felis_catus","Diplopo",1,0.007
"220","T03-001","Felis_catus","Diplopo",3,0.81
"221","3","Felis_catus","Formiga",1,0.02
"222","11/","Felis_catus","Formiga",3,0.005
"223","2","Felis_catus","Formiga",1,0.008
"224","251","Felis_catus","Formiga",3,0.007
"225","246","Felis_catus","Formiga",23,0.1
"226","253","Felis_catus","Formiga",2,0.004
"227","239","Felis_catus","Formiga",1,0.005
"228","238","Felis_catus","Formiga",3,0.075
"229","235","Felis_catus","Formiga",7,0.025
"230","224","Felis_catus","Formiga",1,0.002
"231","209","Felis_catus","Formiga",1,0.005
"232","C","Felis_catus","Formiga",1,0.005
"233","245","Felis_catus","Formiga",1,0.002
"234","248","Felis_catus","Formiga",2,0.007
"235","T01-002","Felis_catus","Formiga",8,0.023
"236","T03-001","Felis_catus","Formiga",2,0.009
"237","T02-004","Felis_catus","Formiga",4,0.005
"238","244","Felis_catus","Formiga",3,0.005
"239","T05-003","Felis_catus","Formiga",1,0.001
"240","T05-002","Felis_catus","Formiga",3,0.005
"241","T05-001","Felis_catus","Formiga",2,0.005
"242","353","Felis_catus","Formiga",9,0.095
"243","T03-001","Felis_catus","Coleop",2,0.2
