"","Amphisbaena_ridleyi","Aquatic_invertebrates","Birds","Fish","Kerodon_rupestris","Mammals","Mus_musculus","Plants","Reptiles","Terrestrial_invertebrates","Trachylepis_atlantica","Rhinella","Rattus_spp","Salvator_merianae","Felis_catus"
"Amphisbaena_ridleyi",NA,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0
"Aquatic_invertebrates",0,NA,0,0,0,0,0,0,0,0,0,-0.0980806914692577,0,-0.00159774251926325,-0.000321566011479086
"Birds",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,-0.1
"Fish",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,-0.1
"Kerodon_rupestris",0,0,0,0,NA,0,0,0,0,0,0,0,0,-0.284943275691155,-0.215056724308845
"Mammals",0,0,0,0,0,NA,0,0,0,0,0,0,-0.481539421432696,-0.0156963709852754,-0.00276420758202876
"Mus_musculus",0,0,0,0,0,0,NA,0,0,0,0,0,0,-0.5,0
"Plants",0,0,0,0,0,0,0,NA,0,0,0,0,-0.0886251667165682,-0.0113748332834318,0
"Reptiles",0,0,0,0,0,0,0,0,NA,0,0,-0.5,0,0,0
"Terrestrial_invertebrates",0,0,0,0,0,0,0,0,0,NA,0,-0.0401214963929395,-0.0590479393818133,-0.00053465010178273,-0.000295914123464466
"Trachylepis_atlantica",0,0,0,0,0,0,0,0,0,0,NA,0,-0.462434201038799,-0.026378822360649,-0.0111869766005517
"Rhinella",0,0.013989934858997,0,0,0,0,0,0,1.103937690948e-05,0.785999025764094,0,NA,0,0,0
"Rattus_spp",0,0,0,0,0,0.0367431261771438,0,0.239534488830326,0,0.297799335836594,0.168079801657904,0,NA,-0.0402788710221523,-0.0175643764758799
"Salvator_merianae",0.000988383754307104,0.00597816364475873,0,0,0.00261279509500003,0.00430862976682434,0.00797217941339391,0.654232928653006,0,0.0435875902392565,0.0672215941328971,0,0.0130977353005565,NA,0
"Felis_catus",0,0.0053849930212534,0.274838559479991,0.00141234541144476,0.0408475488473014,0.00707337820305454,0,0,0,0.168966004644421,0.196593641787312,0,0.104883528605222,0,NA
