"","Amphisbaena_ridleyi","Aquatic_invertebrates","Birds","Fish","Kerodon_rupestris","Mammals","Mus_musculus","Plants","Reptiles","Terrestrial_invertebrates","Trachylepis_atlantica","Rhinella","Rattus_spp","Salvator_merianae","Felis_catus"
"Amphisbaena_ridleyi",0,0,0,0,0,0,0,0,0,0,0,0,0,0.180909090909091,0
"Aquatic_invertebrates",0,0,0,0,0,0,0,0,0,0,0,22.2109489051095,0,0.361818181818182,0.0728205128205128
"Birds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40051282051282
"Fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364102564102564
"Kerodon_rupestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0.180909090909091,0.136538461538462
"Mammals",0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.361818181818182,0.0637179487179487
"Mus_musculus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.361818181818182,0
"Plants",0,0,0,0,0,0,0,0,0,0,0,0,29.6,3.79909090909091,0
"Reptiles",0,0,0,0,0,0,0,0,0,0,0,0.151094890510949,0,0,0
"Terrestrial_invertebrates",0,0,0,0,0,0,0,0,0,0,0,135.758759124088,199.8,1.80909090909091,1.00128205128205
"Trachylepis_atlantica",0,0,0,0,0,0,0,0,0,0,0,0,22.2,1.26636363636364,0.537051282051282
"Rhinella",0,0.174874185737462,0,0,0,0,0,0,0.0001379922113685,9.82498782205117,0,0,0,0,0
"Rattus_spp",0,0,0,0,0,0.495085789535364,0,3.2275457714668,0,4.01262044484065,2.26474799415719,0,0,0.542727272727273,0.236666666666667
"Salvator_merianae",0.0123547969288388,0.0747270455594842,0,0,0.0326599386875004,0.0538578720853042,0.0996522426674238,8.17791160816257,0,0.544844877990706,0.840269926661213,0,0.163721691256956,0,0
"Felis_catus",0,0.0673124127656675,3.43548199349989,0.0176543176430595,0.510594360591267,0.0884172275381818,0,0,0,2.11207505805526,2.4574205223414,0,1.31104410756527,0,0
