"","Amphisbaena_ridleyi","Aquatic_invertebrates","Birds","Fish","Kerodon_rupestris","Mammals","Mus_musculus","Plants","Reptiles","Terrestrial_invertebrates","Trachylepis_atlantica","Rhinella","Rattus_spp","Salvator_merianae","Felis_catus"
"Amphisbaena_ridleyi",NA,-0.00117601439760859,0,0,-0.000488321603629449,-0.000353383961733788,-0.00157792704845461,-0.126158660276525,0,-0.00431413558735949,-0.0109334582778423,0,0,-0.197929194343465,0
"Aquatic_invertebrates",-1.69831485370947e-06,NA,-9.12401914065816e-05,-4.48340987433141e-07,-1.84570964290507e-05,0,-1.36983946318455e-05,-0.000217622955696903,-1.04463757158834e-06,-0.0735920939024701,0,-0.0949960482409528,0,-0.00171827475543652,-0.00036008048183835
"Birds",0,-0.000402121690296795,NA,-0.00012012802310713,-0.00373821647579843,-0.000650521743372842,0,-0.0132634509707473,0,-0.00992904856450778,-0.0142043775582803,0,-0.000857620331085913,0,-0.0964795940035583
"Fish",0,-0.000402121690296795,-0.0244468030557284,NA,-0.00373821647579843,-0.000650521743372842,0,-0.0132634509707473,0,-0.00992904856450778,-0.0142043775582803,0,-0.000857620331085913,0,-0.0964795940035583
"Kerodon_rupestris",-0.000275262216604011,-0.00254027670846041,-0.0523062129675672,-0.000257025098361155,NA,-0.00190246267038014,-0.00222023051970746,-0.208264252768002,0,-0.0274995062280548,-0.0461245461669029,0,0,-0.278497309779217,-0.206427080852686
"Mammals",0,0,0,0,0,NA,0,-0.0980615286558747,0,-0.12205088875706,-0.0703347915709082,0,-0.42550372953841,0,0
"Mus_musculus",-0.000489075000480435,-0.00294003599402147,0,0,-0.00122080400907362,-0.000883459904334471,NA,-0.315396650691312,0,-0.0107853389683987,-0.0273336456946056,0,0,-0.494822985858662,0
"Plants",-6.92471908439384e-06,-4.84775987261045e-05,-0.00110336902061703,-5.42179437132234e-06,-0.000187215870962524,-0.00274265829411233,-5.58539157362429e-05,NA,0,-0.0218239012239988,-0.013389313499309,0,-0.073053594015063,-0.00700610370639725,-0.00435445873648868
"Reptiles",-7.17007628213534e-07,-0.00675379523453217,-7.20421844484263e-05,-3.54004782481397e-07,-1.29240619301623e-05,0,-5.78329361240619e-06,0,NA,-0.374822505664942,0,-0.48429389778015,0,-0.000725434453054304,-0.000284315322983917
"Terrestrial_invertebrates",0,-0.000518897814050618,0,0,0,-0.00184837962761495,0,-0.0107991538120067,-4.20853676288788e-07,NA,-0.00828066846592271,-0.0382711068627606,-0.0506543415279898,0,0
"Trachylepis_atlantica",-6.58691533328891e-06,0,-0.000622469002664176,-3.05872185271246e-06,-0.000112703822351352,-0.0150334250858773,-5.31292330423091e-05,-0.10243385465549,0,-0.118299534410224,NA,0,-0.4079340231023,-0.00666432982592535,-0.00245658119468374
"Rhinella",0,0,0,0,0,-0.00145100522528078,0,-0.00849171290070606,0,0,-0.0065019912788656,NA,-0.0397610717434959,0,0
"Rattus_spp",-4.11643483735821e-05,-0.000466528129610624,-0.00451427000942801,-2.21824641352163e-05,-0.000799889634954126,0,-0.000332026471741946,0,-1.10780544127739e-07,0,0,-0.0100740335216133,NA,-0.0416481434404392,-0.0178156193568221
"Salvator_merianae",0,0,-0.000941523823175441,-4.62651068642818e-06,0,0,0,0,-1.58605684517085e-08,0,0,-0.00144231010519424,-0.0673047934368869,NA,-0.00371573477307329
"Felis_catus",-1.60657556660466e-05,0,0,0,0,0,-0.000129584370466775,0,-4.8151511360265e-08,0,0,-0.00437874667775886,0,-0.016254572777058,NA
