"","Amphisbaena_ridleyi","Aquatic_invertebrates","Birds","Fish","Kerodon_rupestris","Mammals","Mus_musculus","Plants","Reptiles","Terrestrial_invertebrates","Trachylepis_atlantica","Rhinella","Rattus_spp","Salvator_merianae","Felis_catus"
"Amphisbaena_ridleyi",NA,0,0,0,0,0,0,0,3.14443730407006e-09,0,0,0.000284838295662301,0.01405154115845,0,0
"Aquatic_invertebrates",0,NA,0,0,0,0.000137345070408711,0,0,0,0,0.000487276790423538,0,0.00400904869946434,0,0
"Birds",1.60701623560976e-06,0,NA,0,0,0,1.29619914276102e-05,0.00101740668710929,7.50296276728197e-09,0,0,0.000679654551955628,0,0.0016259031257918,0
"Fish",1.60701623560976e-06,0,0,NA,0,0,1.29619914276102e-05,0.00101740668710929,7.50296276728197e-09,0,0,0.000679654551955628,0,0.0016259031257918,0
"Kerodon_rupestris",0,0,0,0,NA,0,0,0,2.06155572815648e-08,0,0,0.00186745660109324,0.0196036604772,0,0
"Mammals",4.56781566835081e-06,0.000124640734792231,0.00147504337499633,7.57997984816876e-06,0.000231301572408071,NA,3.68434283513018e-05,0,5.37465420346529e-08,0,0,0.00486862098063688,0,0.00462150014955783,0.00536694479037872
"Mus_musculus",0,0,0,0,0,0,NA,0,7.86109326017514e-09,0,0,0.000712095739155753,0.035128852896125,0,0
"Plants",0,0,0.000405967417835155,2.08619278481302e-06,4.06024123823068e-05,0,0,NA,9.98705724595138e-09,0,0,0.000904675809861607,0,0,0.00147711230404957
"Reptiles",0,0,0,0,0,0.000725023501918229,0,0.00428294467184374,NA,0,0.00323862931796605,0,0.0198684198053447,0,0
"Terrestrial_invertebrates",1.86092897535314e-06,0,0.000186458975840065,9.58178792119515e-07,3.26316107254311e-05,0,1.50100197443036e-05,0,0,NA,0,0,0,0.00188280004324608,0.000678430916654689
"Trachylepis_atlantica",0,1.0462132239023e-05,0,0,0,0,0,0,5.24320603174732e-08,0,NA,0.00474954888735136,0,0,0
"Rhinella",1.43892218922225e-06,0.0135620341765953,0.000145165915445611,7.45981258836838e-07,2.5378903447362e-05,0,1.16061659293816e-05,0,1.06926108915067e-05,0.749628527428939,0,NA,0,0.00145583350895017,0.000528186131233813
"Rattus_spp",0,0,0,0,0,0.0322206715530882,0,0.18467842464073,0,0.251042352265116,0.142669935873557,0,NA,0,0
"Salvator_merianae",0.000977801162765119,0.00589450878218678,1.41619912721152e-05,7.27758995242033e-08,0.0025869247948297,0.00168137414416286,0.00788682155713238,0.630398935094763,0,0.02108749469088,0.0547030836916917,0,0,NA,5.15284001593894e-05
"Felis_catus",0,0.00499209933998304,0.26459978642866,0.00135973021740055,0.0392833420557438,0.00681085485216877,0,0,0,0.157196392114907,0.188501802121626,0,0.00193344502537842,0,NA
