"","Amphisbaena_ridleyi","Aquatic_invertebrates","Birds","Fish","Kerodon_rupestris","Mammals","Mus_musculus","Plants","Reptiles","Terrestrial_invertebrates","Trachylepis_atlantica","Rhinella","Rattus_spp","Salvator_merianae","Felis_catus"
"Amphisbaena_ridleyi",NA,-0.00117601439760859,0.000188304764635088,9.25302137285637e-07,-0.000488321603629449,-0.000353383961733788,-0.00157792704845461,-0.126158660276525,3.17211369034169e-09,-0.00431413558735949,-0.0109334582778423,0.000288462021038847,0.0134609586873774,-0.197929194343465,0.000743146954614658
"Aquatic_invertebrates",-1.69831485370947e-06,NA,-9.12401914065816e-05,-4.48340987433141e-07,-1.84570964290507e-05,0.000137400656090638,-1.36983946318455e-05,-0.000217622955696903,-1.04463757158834e-06,-0.0735920939024701,0.000504699094323132,-0.0949960482409528,0.00400457132489288,-0.00171827475543652,-0.00036008048183835
"Birds",1.60657556660466e-06,-0.000402121690296795,NA,-0.00012012802310713,-0.00373821647579843,-0.000650521743372842,1.29584370466775e-05,-0.0132634509707473,4.8151511360265e-09,-0.00992904856450778,-0.0142043775582803,0.000437874667775886,-0.000857620331085913,0.0016254572777058,-0.0964795940035583
"Fish",1.60657556660466e-06,-0.000402121690296795,-0.0244468030557284,NA,-0.00373821647579843,-0.000650521743372842,1.29584370466775e-05,-0.0132634509707473,4.8151511360265e-09,-0.00992904856450778,-0.0142043775582803,0.000437874667775886,-0.000857620331085913,0.0016254572777058,-0.0964795940035583
"Kerodon_rupestris",-0.000275262216604011,-0.00254027670846041,-0.0523062129675672,-0.000257025098361155,NA,-0.00190246267038014,-0.00222023051970746,-0.208264252768002,1.48746686326123e-08,-0.0274995062280548,-0.0461245461669029,0.00135265548303356,0.0173336781205831,-0.278497309779217,-0.206427080852686
"Mammals",4.51326028876245e-06,0.000121240416018163,0.00151281709212089,7.43376245085656e-06,0.000243521943515689,NA,3.64033915010916e-05,-0.0980615286558747,5.37272532645141e-08,-0.12205088875706,-0.0703347915709082,0.00488578707274465,-0.42550372953841,0.00456630359320952,0.00597035033647339
"Mus_musculus",-0.000489075000480435,-0.00294003599402147,0.00047076191158772,2.31325534321409e-06,-0.00122080400907362,-0.000883459904334471,NA,-0.315396650691312,7.93028422585423e-09,-0.0107853389683987,-0.0273336456946056,0.000721155052597118,0.0336523967184435,-0.494822985858662,0.00185786738653665
"Plants",-6.92471908439384e-06,-4.84775987261045e-05,-0.00110336902061703,-5.42179437132234e-06,-0.000187215870962524,-0.00274265829411233,-5.58539157362429e-05,NA,9.68262969119045e-09,-0.0218239012239988,-0.013389313499309,0.000880507826121038,-0.073053594015063,-0.00700610370639725,-0.00435445873648868
"Reptiles",-7.17007628213534e-07,-0.00675379523453217,-7.20421844484263e-05,-3.54004782481397e-07,-1.29240619301623e-05,0.00072550261264039,-5.78329361240619e-06,0.00424585645035303,NA,-0.374822505664942,0.0032509956394328,-0.48429389778015,0.0198805358717479,-0.000725434453054304,-0.000284315322983917
"Terrestrial_invertebrates",1.8544351338787e-06,-0.000518897814050618,0.000184919050797555,9.08665233507987e-07,3.32107233269585e-05,-0.00184837962761495,1.49576412333348e-05,-0.0107991538120067,-4.20853676288788e-07,NA,-0.00828066846592271,-0.0382711068627606,-0.0506543415279898,0.00187622988115454,0.00072978519538124
"Trachylepis_atlantica",-6.58691533328891e-06,1.56439290389559e-05,-0.000622469002664176,-3.05872185271246e-06,-0.000112703822351352,-0.0150334250858773,-5.31292330423091e-05,-0.10243385465549,5.21857653629493e-08,-0.118299534410224,NA,0.00474560902148306,-0.4079340231023,-0.00666432982592535,-0.00245658119468374
"Rhinella",1.43401525642707e-06,0.0135075904690643,0.000144084368896853,7.08009564962793e-07,2.58481238603247e-05,-0.00145100522528078,1.15665872248124e-05,-0.00849171290070606,1.06512136174104e-05,0.749645011329883,-0.0065019912788656,NA,-0.0397610717434959,0.00145086890610861,0.000568630645967834
"Rattus_spp",-4.11643483735821e-05,-0.000466528129610624,-0.00451427000942801,-2.21824641352163e-05,-0.000799889634954126,0.0322511658380885,-0.000332026471741946,0.182318891782041,-1.10780544127739e-07,0.252186721326387,0.143465045494126,-0.0100740335216133,NA,-0.0416481434404392,-0.0178156193568221
"Salvator_merianae",0.000978150000960871,0.00588007198804295,-0.000941523823175441,-4.62651068642818e-06,0.00244160801814725,0.00176691980866894,0.00788963524227305,0.630793301382624,-1.58605684517085e-08,0.0215706779367974,0.0546672913892113,-0.00144231010519424,-0.0673047934368869,NA,-0.00371573477307329
"Felis_catus",-1.60657556660466e-05,0.00402121690296795,0.244468030557284,0.0012012802310713,0.0373821647579843,0.00650521743372841,-0.000129584370466775,0.132634509707473,-4.8151511360265e-08,0.0992904856450778,0.142043775582803,-0.00437874667775886,0.00857620331085912,-0.016254572777058,NA
