"scenario","species","delta_mean_total_effect"
"Felis_catus_25percent","Trachylepis_atlantica",0.000378653372207095
"Felis_catus_25percent","Amphisbaena_ridleyi",-2.50120435148734e-06
"Felis_catus_25percent","Kerodon_rupestris",1.29411595154029e-05
"Felis_catus_50percent","Trachylepis_atlantica",0.000851699135182403
"Felis_catus_50percent","Amphisbaena_ridleyi",-5.69643211833167e-06
"Felis_catus_50percent","Kerodon_rupestris",2.67242446924652e-05
"Felis_catus_75percent","Trachylepis_atlantica",0.00146471518387303
"Felis_catus_75percent","Amphisbaena_ridleyi",-9.92138132050632e-06
"Felis_catus_75percent","Kerodon_rupestris",4.17487428639447e-05
"Felis_catus_90percent","Trachylepis_atlantica",0.00193085342081156
"Felis_catus_90percent","Amphisbaena_ridleyi",-1.31799960594824e-05
"Felis_catus_90percent","Kerodon_rupestris",5.16325489997257e-05
"Felis_catus_100percent","Trachylepis_atlantica",0.00229792512712988
"Felis_catus_100percent","Amphisbaena_ridleyi",-1.57670457551043e-05
"Felis_catus_100percent","Kerodon_rupestris",5.87147008942104e-05
"Rattus_spp_25percent","Trachylepis_atlantica",0.000264683509723959
"Rattus_spp_25percent","Amphisbaena_ridleyi",-1.23576872683271e-06
"Rattus_spp_25percent","Kerodon_rupestris",5.42037538412512e-05
"Rattus_spp_50percent","Trachylepis_atlantica",0.000629581255562854
"Rattus_spp_50percent","Amphisbaena_ridleyi",-3.60204720017851e-06
"Rattus_spp_50percent","Kerodon_rupestris",9.5278998064283e-05
"Rattus_spp_75percent","Trachylepis_atlantica",0.00124635171754757
"Rattus_spp_75percent","Amphisbaena_ridleyi",-9.70003503278076e-06
"Rattus_spp_75percent","Kerodon_rupestris",8.13869457837262e-05
"Rattus_spp_90percent","Trachylepis_atlantica",0.0020886334219021
"Rattus_spp_90percent","Amphisbaena_ridleyi",-2.19992122574152e-05
"Rattus_spp_90percent","Kerodon_rupestris",-6.53102424228898e-05
"Rattus_spp_100percent","Trachylepis_atlantica",0.00458408804444649
"Rattus_spp_100percent","Amphisbaena_ridleyi",-6.51122369191021e-05
"Rattus_spp_100percent","Kerodon_rupestris",-0.000709458900406723
"Salvator_merianae_25percent","Trachylepis_atlantica",-0.000343917586403997
"Salvator_merianae_25percent","Amphisbaena_ridleyi",3.5413607304131e-06
"Salvator_merianae_25percent","Kerodon_rupestris",-1.64318343872077e-07
"Salvator_merianae_50percent","Trachylepis_atlantica",-0.00083044810532615
"Salvator_merianae_50percent","Amphisbaena_ridleyi",8.11634282291338e-06
"Salvator_merianae_50percent","Kerodon_rupestris",-1.44398607767248e-06
"Salvator_merianae_75percent","Trachylepis_atlantica",-0.00156266105135212
"Salvator_merianae_75percent","Amphisbaena_ridleyi",1.44785013399785e-05
"Salvator_merianae_75percent","Kerodon_rupestris",-4.70038333056028e-06
"Salvator_merianae_90percent","Trachylepis_atlantica",-0.00220709900427222
"Salvator_merianae_90percent","Amphisbaena_ridleyi",1.97918603655048e-05
"Salvator_merianae_90percent","Kerodon_rupestris",-8.33375800608814e-06
"Salvator_merianae_100percent","Trachylepis_atlantica",-0.00277671000635319
"Salvator_merianae_100percent","Amphisbaena_ridleyi",2.43564753749771e-05
"Salvator_merianae_100percent","Kerodon_rupestris",-1.19146952632264e-05
"Rhinella_25percent","Trachylepis_atlantica",-0.000107247794642606
"Rhinella_25percent","Amphisbaena_ridleyi",-1.48953063958695e-08
"Rhinella_25percent","Kerodon_rupestris",-4.92727348288743e-09
"Rhinella_50percent","Trachylepis_atlantica",-0.000245202459665897
"Rhinella_50percent","Amphisbaena_ridleyi",-5.91962553347481e-08
"Rhinella_50percent","Kerodon_rupestris",-2.85888125950429e-07
"Rhinella_75percent","Trachylepis_atlantica",-0.000436533793272503
"Rhinella_75percent","Amphisbaena_ridleyi",-2.27767909018017e-07
"Rhinella_75percent","Kerodon_rupestris",-1.84577715344391e-06
"Rhinella_90percent","Trachylepis_atlantica",-0.000622515161650567
"Rhinella_90percent","Amphisbaena_ridleyi",-7.32358175030216e-07
"Rhinella_90percent","Kerodon_rupestris",-7.08399080448507e-06
"Rhinella_100percent","Trachylepis_atlantica",-0.00125054066129497
"Rhinella_100percent","Amphisbaena_ridleyi",-5.564278736035e-06
"Rhinella_100percent","Kerodon_rupestris",-5.89408909268986e-05
"Cats_and_Rats","Trachylepis_atlantica",0.0086348890680903
"Cats_and_Rats","Amphisbaena_ridleyi",-0.000100140910855081
"Cats_and_Rats","Kerodon_rupestris",0.000163668398147363
"Cats_and_Tegu","Trachylepis_atlantica",0.00016187497198863
"Cats_and_Tegu","Amphisbaena_ridleyi",3.85573548665801e-06
"Cats_and_Tegu","Kerodon_rupestris",5.08531024692761e-05
"All_Invasive","Trachylepis_atlantica",0.00176143109711044
"All_Invasive","Amphisbaena_ridleyi",-5.52747245886544e-08
"All_Invasive","Kerodon_rupestris",0.000315618099767572
