"scenario","species","delta_mean_total_effect"
"Felis_catus_25percent","Amphisbaena_ridleyi",-2.50268720187298e-06
"Felis_catus_25percent","Aquatic_invertebrates",-2.73902351023757e-06
"Felis_catus_25percent","Birds",0.00329636507543117
"Felis_catus_25percent","Fish",1.69394210824734e-05
"Felis_catus_25percent","Kerodon_rupestris",-0.000180575890657741
"Felis_catus_25percent","Mammals",-1.05707635684998e-05
"Felis_catus_25percent","Mus_musculus",-2.17932858927314e-05
"Felis_catus_25percent","Plants",-0.00157940829778264
"Felis_catus_25percent","Reptiles",-1.1739765153909e-08
"Felis_catus_25percent","Terrestrial_invertebrates",-0.000444090789227747
"Felis_catus_25percent","Trachylepis_atlantica",-0.000421420336158029
"Felis_catus_25percent","Rhinella",1.48986850727756e-05
"Felis_catus_25percent","Rattus_spp",0.000139649223977342
"Felis_catus_25percent","Salvator_merianae",-0.0023836057246068
"Felis_catus_25percent","Felis_catus",0.00264607523199752
"Felis_catus_50percent","Amphisbaena_ridleyi",-5.56689305948663e-06
"Felis_catus_50percent","Aquatic_invertebrates",-2.46120552064174e-05
"Felis_catus_50percent","Birds",0.00840738472907225
"Felis_catus_50percent","Fish",4.32040222697369e-05
"Felis_catus_50percent","Kerodon_rupestris",-0.000477173720318336
"Felis_catus_50percent","Mammals",-3.95478521294881e-05
"Felis_catus_50percent","Mus_musculus",-4.81288284772905e-05
"Felis_catus_50percent","Plants",-0.00351827142250819
"Felis_catus_50percent","Reptiles",-2.28736666916894e-08
"Felis_catus_50percent","Terrestrial_invertebrates",-0.00128434291985175
"Felis_catus_50percent","Trachylepis_atlantica",-0.0013515254971569
"Felis_catus_50percent","Rhinella",4.74879413848162e-05
"Felis_catus_50percent","Rattus_spp",0.000325938623762012
"Felis_catus_50percent","Salvator_merianae",-0.00536854862768722
"Felis_catus_50percent","Felis_catus",0.00597915852144678
"Felis_catus_75percent","Amphisbaena_ridleyi",-9.40239186975054e-06
"Felis_catus_75percent","Aquatic_invertebrates",-8.34709657650021e-05
"Felis_catus_75percent","Birds",0.0171521322142153
"Felis_catus_75percent","Fish",8.8141690434833e-05
"Felis_catus_75percent","Kerodon_rupestris",-0.000995787799654912
"Felis_catus_75percent","Mammals",-0.000108226294998827
"Felis_catus_75percent","Mus_musculus",-8.07171258270895e-05
"Felis_catus_75percent","Plants",-0.00594949314684949
"Felis_catus_75percent","Reptiles",-3.32089708887183e-08
"Felis_catus_75percent","Terrestrial_invertebrates",-0.00301013079254867
"Felis_catus_75percent","Trachylepis_atlantica",-0.00338916486145887
"Felis_catus_75percent","Rhinella",0.000119231578750448
"Felis_catus_75percent","Rattus_spp",0.000581995884461867
"Felis_catus_75percent","Salvator_merianae",-0.00917774750537263
"Felis_catus_75percent","Felis_catus",0.0103182666081236
"Felis_catus_90percent","Amphisbaena_ridleyi",-1.21762525558943e-05
"Felis_catus_90percent","Aquatic_invertebrates",-0.00015426913303872
"Felis_catus_90percent","Birds",0.0259571717573845
"Felis_catus_90percent","Fish",0.000133389188529401
"Felis_catus_90percent","Kerodon_rupestris",-0.00151637574598306
"Felis_catus_90percent","Mammals",-0.000190798494674849
"Felis_catus_90percent","Mus_musculus",-0.000104108858483088
"Felis_catus_90percent","Plants",-0.0077084279481295
"Felis_catus_90percent","Reptiles",-3.88111155924797e-08
"Felis_catus_90percent","Terrestrial_invertebrates",-0.00498616768032224
"Felis_catus_90percent","Trachylepis_atlantica",-0.00576868750302502
"Felis_catus_90percent","Rhinella",0.000203575966008895
"Felis_catus_90percent","Rattus_spp",0.000784071108241371
"Felis_catus_90percent","Salvator_merianae",-0.0119678061631636
"Felis_catus_90percent","Felis_catus",0.0136128199066016
"Felis_catus_100percent","Amphisbaena_ridleyi",-1.42394390303322e-05
"Felis_catus_100percent","Aquatic_invertebrates",-0.000229426859822016
"Felis_catus_100percent","Birds",0.0346614511842368
"Felis_catus_100percent","Fish",0.0001781188986971
"Felis_catus_100percent","Kerodon_rupestris",-0.00202577534732291
"Felis_catus_100percent","Mammals",-0.000280298438016023
"Felis_catus_100percent","Mus_musculus",-0.000121445193331665
"Felis_catus_100percent","Plants",-0.00901568524915464
"Felis_catus_100percent","Reptiles",-4.21219541495843e-08
"Felis_catus_100percent","Terrestrial_invertebrates",-0.0070947552934652
"Felis_catus_100percent","Trachylepis_atlantica",-0.00831865396733793
"Felis_catus_100percent","Rhinella",0.000294392896343608
"Felis_catus_100percent","Rattus_spp",0.000945657831687499
"Felis_catus_100percent","Salvator_merianae",-0.0140564545894665
"Felis_catus_100percent","Felis_catus",0.0161913799281265
"Rattus_spp_25percent","Amphisbaena_ridleyi",-5.7736262132551e-06
"Rattus_spp_25percent","Aquatic_invertebrates",-0.000469953605358499
"Rattus_spp_25percent","Birds",-0.00748698205349691
"Rattus_spp_25percent","Fish",-3.84742401824278e-05
"Rattus_spp_25percent","Kerodon_rupestris",-0.00130370163133439
"Rattus_spp_25percent","Mammals",0.00185242357129504
"Rattus_spp_25percent","Mus_musculus",-0.00013867079637061
"Rattus_spp_25percent","Plants",1.69585899885286e-05
"Rattus_spp_25percent","Reptiles",-5.25276055201642e-07
"Rattus_spp_25percent","Terrestrial_invertebrates",0.00605440465645262
"Rattus_spp_25percent","Trachylepis_atlantica",0.000400035584015008
"Rattus_spp_25percent","Rhinella",-0.000567807322679525
"Rattus_spp_25percent","Rattus_spp",-0.00231484874312342
"Rattus_spp_25percent","Salvator_merianae",0.000145504823585496
"Rattus_spp_25percent","Felis_catus",-0.00227676927742731
"Rattus_spp_50percent","Amphisbaena_ridleyi",-7.94413722342772e-06
"Rattus_spp_50percent","Aquatic_invertebrates",-0.000544368968421934
"Rattus_spp_50percent","Birds",-0.00954051997090593
"Rattus_spp_50percent","Fish",-4.90269983556914e-05
"Rattus_spp_50percent","Kerodon_rupestris",-0.00166421274369748
"Rattus_spp_50percent","Mammals",0.0022867928341907
"Rattus_spp_50percent","Mus_musculus",-0.000183502601117044
"Rattus_spp_50percent","Plants",0.000247235803261014
"Rattus_spp_50percent","Reptiles",-5.84846111916577e-07
"Rattus_spp_50percent","Terrestrial_invertebrates",0.00745253228825976
"Rattus_spp_50percent","Trachylepis_atlantica",0.000611393490398912
"Rattus_spp_50percent","Rhinella",-0.00109891302507395
"Rattus_spp_50percent","Rattus_spp",0.000263292923655817
"Rattus_spp_50percent","Salvator_merianae",-0.000921891065119779
"Rattus_spp_50percent","Felis_catus",-0.00436649052302025
"Rattus_spp_75percent","Amphisbaena_ridleyi",-9.81874307105352e-06
"Rattus_spp_75percent","Aquatic_invertebrates",-0.000582794475343752
"Rattus_spp_75percent","Birds",-0.0105750652699348
"Rattus_spp_75percent","Fish",-5.43433386420752e-05
"Rattus_spp_75percent","Kerodon_rupestris",-0.00184748272280805
"Rattus_spp_75percent","Mammals",0.00233681485605306
"Rattus_spp_75percent","Mus_musculus",-0.000211953551086908
"Rattus_spp_75percent","Plants",7.9709708240609e-05
"Rattus_spp_75percent","Reptiles",-6.08351313723017e-07
"Rattus_spp_75percent","Terrestrial_invertebrates",0.00819346285707433
"Rattus_spp_75percent","Trachylepis_atlantica",0.000977776664002023
"Rattus_spp_75percent","Rhinella",-0.00186288686309062
"Rattus_spp_75percent","Rattus_spp",0.00832828345182091
"Rattus_spp_75percent","Salvator_merianae",-0.00527610232419526
"Rattus_spp_75percent","Felis_catus",-0.00757075417969139
"Rattus_spp_90percent","Amphisbaena_ridleyi",-1.20735266230672e-05
"Rattus_spp_90percent","Aquatic_invertebrates",-0.000609520104525996
"Rattus_spp_90percent","Birds",-0.0111244588388997
"Rattus_spp_90percent","Fish",-5.71665723530689e-05
"Rattus_spp_90percent","Kerodon_rupestris",-0.0019458060516455
"Rattus_spp_90percent","Mammals",0.00207132528549185
"Rattus_spp_90percent","Mus_musculus",-0.000235671221816733
"Rattus_spp_90percent","Plants",-0.00117900191283017
