"","Amphisbaena_ridleyi","Aquatic_invertebrates","Birds","Fish","Kerodon_rupestris","Mammals","Mus_musculus","Plants","Reptiles","Terrestrial_invertebrates","Trachylepis_atlantica","Rhinella","Rattus_spp","Salvator_merianae","Felis_catus"
"Amphisbaena_ridleyi",NA,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0
"Aquatic_invertebrates",0,NA,0,0,0,0,0,0,0,0,0,-0.0980806914692577,0,-0.00159774251926325,-0.000321566011479086
"Birds",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,-0.1
"Fish",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,-0.1
"Kerodon_rupestris",0,0,0,0,NA,0,0,0,0,0,0,0,0,-0.284943275691155,-0.215056724308845
"Mammals",0,0,0,0,0,NA,0,0,0,0,0,0,-0.481539421432696,-0.0156963709852754,-0.00276420758202876
"Mus_musculus",0,0,0,0,0,0,NA,0,0,0,0,0,0,-0.5,0
"Plants",0,0,0,0,0,0,0,NA,0,0,0,0,-0.0807668346128857,-0.0103662347004683,-0.00886693068664594
"Reptiles",0,0,0,0,0,0,0,0,NA,0,0,-0.5,0,0,0
"Terrestrial_invertebrates",0,0,0,0,0,0,0,0,0,NA,0,-0.0401283868563805,-0.0590252337307131,-0.000534444513259255,-0.000311934899647181
"Trachylepis_atlantica",0,0,0,0,0,0,0,0,0,0,NA,0,-0.462434201038799,-0.026378822360649,-0.0111869766005517
"Rhinella",0,0.0139341562486367,0,0,0,0,0,0,1.09966423965202e-05,0.786054847108967,0,NA,0,0,0
"Rattus_spp",0,0,0,0,0,0.0367431261771438,0,0.239534488830326,0,0.297799335836594,0.168079801657904,0,NA,-0.0402788710221523,-0.0175643764758799
"Salvator_merianae",0.000988383754307104,0.00597816364475873,0,0,0.00261279509500003,0.00430862976682434,0.00797217941339391,0.654232928653006,0,0.0435875902392565,0.0672215941328971,0,0.0130977353005565,NA,0
"Felis_catus",0,0.00408458894842378,0.248100820715732,0.00120499585298452,0.038261142379177,0.00634503640658857,0,0.182963423950251,0,0.08754293969987,0.135273927972549,0,0.0962231240744247,0,NA
