"species","total_negative_effect"
"Rattus_spp",-1.06332370012876
"Salvator_merianae",-1.04512094999452
"Plants",-0.911042769493476
"Terrestrial_invertebrates",-0.766626986087974
"Rhinella",-0.632842077625684
"Felis_catus",-0.432518934661163
"Trachylepis_atlantica",-0.206863041112285
"Birds",-0.083370803872338
"Mammals",-0.025470454296229
"Aquatic_invertebrates",-0.0151540473353045
"Kerodon_rupestris",-0.0102674875178923
"Mus_musculus",-0.00438643264669638
"Amphisbaena_ridleyi",-0.000837318757297614
"Fish",-0.00040492196936849
"Reptiles",-1.63352843520298e-06
