"","Amphisbaena_ridleyi","Aquatic_invertebrates","Birds","Fish","Kerodon_rupestris","Mammals","Mus_musculus","Plants","Reptiles","Terrestrial_invertebrates","Trachylepis_atlantica","Rhinella","Rattus_spp","Salvator_merianae","Felis_catus"
"Amphisbaena_ridleyi",NA,0,0.000269736229530289,1.31007643201669e-06,0,0,0,0,3.19822506297988e-09,0,0,0.000290836506967976,0.0131933289212441,0,0.00108720410014019
"Aquatic_invertebrates",0,NA,0,0,0,0.000137417789736203,0,0,0,0,0.000508759404312284,0,0.00400356106177715,0,0
"Birds",1.6023767272967e-06,0,NA,0,0,0,1.29245697353774e-05,0,4.11097246894581e-09,0,0,0.000373838879242512,0,0.00162120909041047,0
"Fish",1.6023767272967e-06,0,0,NA,0,0,1.29245697353774e-05,0,4.11097246894581e-09,0,0,0.000373838879242512,0,0.00162120909041047,0
"Kerodon_rupestris",0,0,0,0,NA,0,0,0,1.33974863581685e-08,0,0,0.00121832518282199,0.0165766213424399,0,0
"Mammals",4.48858190161219e-06,0.000120791701672434,0.00154814642807664,7.51916104212572e-06,0.000250614691361122,NA,3.62043387251453e-05,0,5.37870307274534e-08,0,0,0.00489122304681598,0,0.00454133516668216,0.00623998914477785
"Mus_musculus",0,0,0.000674340573825722,3.27519108004172e-06,0,0,NA,0,7.9955626574497e-09,0,0,0.000727091267419939,0.0329833223031103,0,0.00271801025035046
"Plants",0,0,0,0,0,0,0,NA,9.49062604698526e-09,0,0,0.000863047619879727,0,0,0
"Reptiles",0,0,0,0,0,0.000725790414202224,0,0.00423608392359326,NA,0,0.00325423088417605,0,0.0198891492591186,0,0
"Terrestrial_invertebrates",1.85171803403212e-06,0,0.000188434834655672,9.15205333311138e-07,3.39547079391386e-05,0,1.49357254467117e-05,0,0,NA,0,0,0,0.00187348084786181,0.000759509114528792
"Trachylepis_atlantica",0,1.7229505390852e-05,0,0,0,0,0,0,5.21845634891774e-08,0,NA,0.00474549972687034,0,0,0
"Rhinella",1.43187866949674e-06,0.0135075394129927,0.000146876022495185,7.13359179945414e-07,2.64358232905778e-05,0,1.15493537825723e-05,0,1.06512191718351e-05,0.749632548904354,0,NA,0,0.00144870720836619,0.000592001356833367
"Rattus_spp",0,0,0,0,0,0.0322640013462371,0,0.181691568635015,0,0.25254408020581,0.143667215909229,0,NA,0,0
"Salvator_merianae",0.000978309054814873,0.0058747608784747,0,0,0.00237817424562409,0.00180639895651728,0.00789091815071319,0.630768384228685,0,0.0218795219545585,0.0547133849714203,0,0,NA,0
"Felis_catus",0,0.00379192203941737,0.239374987921906,0.00116261553235493,0.0368731195555721,0.00643134269113278,0,0.168394848804395,0,0.0838931059878531,0.131161637989231,0,0.0103234644959185,0,NA
