"species","total_positive_effect"
"Terrestrial_invertebrates",1.10794925705258
"Plants",0.985090885591688
"Trachylepis_atlantica",0.333305229158369
"Birds",0.242202522010489
"Rattus_spp",0.0969694473836086
"Mammals",0.0413649511978256
"Kerodon_rupestris",0.0395622990237871
"Aquatic_invertebrates",0.023312243537948
"Rhinella",0.013483701109261
"Felis_catus",0.0113967139666307
"Salvator_merianae",0.0111059414037311
"Mus_musculus",0.00797945670813837
"Fish",0.00117634852542237
"Amphisbaena_ridleyi",0.000989285986874607
"Reptiles",1.07994946111152e-05
